make,model,year_range,skus,search_query,images_saved,image_files,status,folder
CHEVROLET,CLASSIC CRUZE,,AJ-CHV-TK0045 (22-407), CHEVROLET CLASSIC CRUZE dashboard interior OEM,5,dashboard_01_01da9be0.jpg; dashboard_02_da055801.jpg; dashboard_03_3b937bb1.jpg; dashboard_04_50c56e8a.jpg; dashboard_05_217a082c.jpg,SUCCESS,dashboards/CHEVROLET/CLASSIC_CRUZE_
CHEVROLET,CRUZE,,FEA045 (22-407), CHEVROLET CRUZE dashboard interior OEM,5,dashboard_01_4a7744ee.jpg; dashboard_02_76614b34.jpg; dashboard_03_d2ddaba1.jpg; dashboard_04_722e2dff.jpg; dashboard_05_f9554179.jpg,SUCCESS,dashboards/CHEVROLET/CRUZE_
CHEVROLET,SPARK,2015,FEA014 (22-180),2015 CHEVROLET SPARK dashboard interior OEM,5,dashboard_01_de500e7b.jpg; dashboard_02_ea5a227e.jpg; dashboard_03_b6ce9442.jpg; dashboard_04_76e67fa1.jpg; dashboard_05_81681636.png,SUCCESS,dashboards/CHEVROLET/SPARK_2015
CHEVROLET,"SPARK , DAEWOO MATIZ -2011",2010-2013,FEA013 (22-542),"2010 CHEVROLET SPARK , DAEWOO MATIZ -2011 dashboard interior OEM",5,dashboard_01_5fde4464.jpg; dashboard_02_c4024922.jpg; dashboard_03_7e649624.jpg; dashboard_04_5206c81e.jpg; dashboard_05_4802deed.jpg,SUCCESS,dashboards/CHEVROLET/SPARK_DAEWOO_MATIZ_-2011_2010-2013
CHEVROLET,"SPARK , DAEWOO MATIZ -2011",2014,AJ-CHV-TK0683 (22-180),"2014 CHEVROLET SPARK , DAEWOO MATIZ -2011 dashboard interior OEM",5,dashboard_01_c4024922.jpg; dashboard_02_fd9c8c14.jpg; dashboard_03_23ee0775.jpg; dashboard_04_a4dc1af5.jpg; dashboard_05_382a325b.jpg,SUCCESS,dashboards/CHEVROLET/SPARK_DAEWOO_MATIZ_-2011_2014
CHRYSLER,NEON,,FA-CHRYSLER NEON (11-054), CHRYSLER NEON dashboard interior OEM,5,dashboard_01_483154f3.jpg; dashboard_02_0f7402c4.jpg; dashboard_03_07824bc0.jpg; dashboard_04_3c38c8cf.jpg; dashboard_05_47b9044f.jpg,SUCCESS,dashboards/CHRYSLER/NEON_
DAIHATSU,SIRION,2008,FEA226 (22-270),2008 DAIHATSU SIRION dashboard interior OEM,5,dashboard_01_36033e16.jpg; dashboard_02_ff4a0bd5.jpg; dashboard_03_99bfb1a6.jpg; dashboard_04_8cd1c59b.jpg; dashboard_05_abf4c020.png,SUCCESS,dashboards/DAIHATSU/SIRION_2008
DAIHATSU,TERIOS,,"FEA017 (11-204 9""); FEA020 (11-204 9"")", DAIHATSU TERIOS dashboard interior OEM,5,dashboard_01_1915b091.jpg; dashboard_02_2528cf21.jpg; dashboard_03_bbb7f3f6.jpg; dashboard_04_d11608a3.jpg; dashboard_05_6f22d0f5.jpg,SUCCESS,dashboards/DAIHATSU/TERIOS_
DAIHATSU,TERIOS O6-2016/ TOYOTA RUSH,2006-2026,YE-TO052 (11-204); MFN039TO (11-204),2006 DAIHATSU TERIOS O6-2016/ TOYOTA RUSH dashboard interior OEM,5,dashboard_01_e9fb81de.jpg; dashboard_02_1915b091.jpg; dashboard_03_b42c7f7e.jpg; dashboard_04_82948d6b.jpg; dashboard_05_b2333d0d.jpg,SUCCESS,dashboards/DAIHATSU/TERIOS_O6-2016_TOYOTA_RUSH_2006-2026
FIAT,500,2007-2015,YE-FI012 (11-282); FAIT500 1DIN (11-282),2007 FIAT 500 dashboard interior OEM,5,dashboard_01_53d7c545.jpg; dashboard_02_2bf33975.jpg; dashboard_03_513cbe9a.jpg; dashboard_04_b6333f28.jpg; dashboard_05_63eb02d8.jpg,SUCCESS,dashboards/FIAT/500_2007-2015
FIAT,500,2015,"FEA022 (11-322 9"")",2015 FIAT 500 dashboard interior OEM,5,dashboard_01_2bf33975.jpg; dashboard_02_8d23dd68.jpg; dashboard_03_ed151d0b.jpg; dashboard_04_ab844066.jpg; dashboard_05_4c139099.jpg,SUCCESS,dashboards/FIAT/500_2015
FORD,BANTAM FIESTA/IKON 1995-2004,2005-2011,AS-FORD BANTAM; PO-FORD BANTAM; YE-FR011 (11-548),2005 FORD BANTAM FIESTA/IKON 1995-2004 dashboard interior OEM,5,dashboard_01_f2682bc1.jpg; dashboard_02_5201a995.jpg; dashboard_03_4cc80998.jpg; dashboard_04_05961499.jpg; dashboard_05_8b83edf1.jpg,SUCCESS,dashboards/FORD/BANTAM_FIESTAIKON_1995-2004_2005-2011
FORD,FIESTA,,FEA023, FORD FIESTA dashboard interior OEM,5,dashboard_01_6d4f55ee.jpg; dashboard_02_d7ae76d7.jpg; dashboard_03_a85cae5e.jpg; dashboard_04_74281005.jpg; dashboard_05_eb91b769.jpg,SUCCESS,dashboards/FORD/FIESTA_
FORD,FIESTA,2014,AJ-FD-001,2014 FORD FIESTA dashboard interior OEM,5,dashboard_01_6d4f55ee.jpg; dashboard_02_cd790cc0.jpg; dashboard_03_2586d38f.jpg; dashboard_04_eaf3688a.jpg; dashboard_05_8486efd1.jpg,SUCCESS,dashboards/FORD/FIESTA_2014
FORD,FIESTA 3 SLOT,2001-2005,FA-PZ-0005 (11-049),2001 FORD FIESTA 3 SLOT dashboard interior OEM,5,dashboard_01_ba063ea5.jpg; dashboard_02_4919a822.jpg; dashboard_03_779d3730.jpg; dashboard_04_86a95af1.jpg; dashboard_05_5537feaf.jpg,SUCCESS,dashboards/FORD/FIESTA_3_SLOT_2001-2005
FORD,FIESTA/FOCUS/KUGA,2006-2008,FA-FORD FOCUS/FA-PZ-26058 (10-001),2006 FORD FIESTA/FOCUS/KUGA dashboard interior OEM,5,dashboard_01_6c9dd272.jpg; dashboard_02_6ba3d1b3.jpg; dashboard_03_c21cc7c6.jpg; dashboard_04_b77393f1.jpg; dashboard_05_908ec36e.jpg,SUCCESS,dashboards/FORD/FIESTAFOCUSKUGA_2006-2008
FORD,FIGO,,FEA028, FORD FIGO dashboard interior OEM,5,dashboard_01_14aeb74e.jpg; dashboard_02_04d66fe9.jpg; dashboard_03_54d4d867.jpg; dashboard_04_fdd0bd69.jpg; dashboard_05_7c471f4c.jpg,SUCCESS,dashboards/FORD/FIGO_
FORD,FIGO,2019-2021,AJ-FD-039,2019 FORD FIGO dashboard interior OEM,5,dashboard_01_a5068e81.jpg; dashboard_02_04d66fe9.jpg; dashboard_03_c5eec394.jpg; dashboard_04_13970322.jpg; dashboard_05_34ebc575.jpg,SUCCESS,dashboards/FORD/FIGO_2019-2021
FORD,FIGO +,,FEA902; FEA646; FA-YE-FR107N, FORD FIGO + dashboard interior OEM,5,dashboard_01_04d66fe9.jpg; dashboard_02_10d300e6.jpg; dashboard_03_ccd61f4c.jpg; dashboard_04_e7192cf7.jpg; dashboard_05_1125c835.jpg,SUCCESS,dashboards/FORD/FIGO_
FORD,FIGO ASPIRE,,AJ-FD-TK0646, FORD FIGO ASPIRE dashboard interior OEM,5,dashboard_01_299e3b9b.jpg; dashboard_02_1125c835.jpg; dashboard_03_04d66fe9.jpg; dashboard_04_0b89c8e1.jpg; dashboard_05_33a7f692.jpg,SUCCESS,dashboards/FORD/FIGO_ASPIRE_
FORD,FIGO ASPIRE/FREESTYLE,,AJ-FD-TK0767, FORD FIGO ASPIRE/FREESTYLE dashboard interior OEM,5,dashboard_01_1125c835.jpg; dashboard_02_5e451865.jpg; dashboard_03_f48fa05f.jpg; dashboard_04_cd8917e1.jpg; dashboard_05_fae419fc.jpg,SUCCESS,dashboards/FORD/FIGO_ASPIREFREESTYLE_
FORD,FIGO POCKET,,FA-FORD FIGO (11-047), FORD FIGO POCKET dashboard interior OEM,5,dashboard_01_409823a8.jpg; dashboard_02_421960b0.jpg; dashboard_03_38b203b7.jpg; dashboard_04_0e59c811.jpg; dashboard_05_7c471f4c.jpg,SUCCESS,dashboards/FORD/FIGO_POCKET_
FORD,FOCUS,2008,AJ-FD-TK0041E (22-630),2008 FORD FOCUS dashboard interior OEM,5,dashboard_01_a2cd6d4a.jpg; dashboard_02_60c2c86e.jpg; dashboard_03_12fc524c.jpg; dashboard_04_2defcbe6.jpg; dashboard_05_f37d3a13.jpg,SUCCESS,dashboards/FORD/FOCUS_2008
FORD,FOCUS,2018,AJ-FD-008 (22-645),2018 FORD FOCUS dashboard interior OEM,5,dashboard_01_9a8f4a9e.jpg; dashboard_02_5be969c9.jpg; dashboard_03_c7a47aee.jpg; dashboard_04_847925f9.png; dashboard_05_cdbfd4bf.jpg,SUCCESS,dashboards/FORD/FOCUS_2018
FORD,FOCUS - (),2008,FEA041 (22-630); AJ-FD-006 (22-630),2008 FORD FOCUS - () dashboard interior OEM,5,dashboard_01_a2cd6d4a.jpg; dashboard_02_33bc5e0e.jpg; dashboard_03_60c2c86e.jpg; dashboard_04_2defcbe6.jpg; dashboard_05_ac8176ae.jpg,SUCCESS,dashboards/FORD/FOCUS_-_2008
FORD,FOCUS/FIESTA,2011,"FEA032 (11-810 9""); FEA990 (11- 810 9"")",2011 FORD FOCUS/FIESTA dashboard interior OEM,5,dashboard_01_4919a822.jpg; dashboard_02_7e4de949.jpg; dashboard_03_16be95c3.jpg; dashboard_04_63cd0162.jpg; dashboard_05_a37ffd34.jpg,SUCCESS,dashboards/FORD/FOCUSFIESTA_2011
FORD,KA,1996-2008,PZ-0006 (11-681),1996 FORD KA dashboard interior OEM,5,dashboard_01_c4732ffb.jpg; dashboard_02_e002bdcc.jpg; dashboard_03_61866fa6.jpg; dashboard_04_2e0af0ea.jpg; dashboard_05_781baab9.jpg,SUCCESS,dashboards/FORD/KA_1996-2008
FORD,KUGA,,FEA024 (22-687), FORD KUGA dashboard interior OEM,5,dashboard_01_729fd000.jpg; dashboard_02_3e90bba6.jpg; dashboard_03_30f8346c.jpg; dashboard_04_208f544d.jpg; dashboard_05_2b55bd1a.jpg,SUCCESS,dashboards/FORD/KUGA_
FORD,KUGA CMAX 2010+,2011,YE-FR020 (11-159),2011 FORD KUGA CMAX 2010+ dashboard interior OEM,5,dashboard_01_9ef83ada.jpg; dashboard_02_706a8968.png; dashboard_03_e3ff0a00.jpg; dashboard_04_a0c4f8a9.jpg; dashboard_05_a5324581.jpg,SUCCESS,dashboards/FORD/KUGA_CMAX_2010_2011
FORD,KUGA/ESCAPE,,"AJ-FD-031 (11-276 9"")", FORD KUGA/ESCAPE dashboard interior OEM,5,dashboard_01_208f544d.jpg; dashboard_02_445ac467.jpg; dashboard_03_30f8346c.jpg; dashboard_04_3e90bba6.jpg; dashboard_05_51ed8225.jpg,SUCCESS,dashboards/FORD/KUGAESCAPE_
FORD,RANGER,,AJ-FD-028 (22-626); FEA034 (22-626), FORD RANGER dashboard interior OEM,5,dashboard_01_c052d7e3.jpg; dashboard_02_dc5fa291.jpg; dashboard_03_62a9e9a6.jpg; dashboard_04_87c70bb3.jpg; dashboard_05_42f19898.jpg,SUCCESS,dashboards/FORD/RANGER_
FORD,RANGER,2015+,AJ-FD-024 (22-621),2015 FORD RANGER dashboard interior OEM,5,dashboard_01_fa371a56.jpg; dashboard_02_42f19898.jpg; dashboard_03_09dc1dd8.jpg; dashboard_04_a2de9f82.jpg; dashboard_05_a5f4143d.jpg,SUCCESS,dashboards/FORD/RANGER_2015-present
FORD,RANGER T6 & SWITCHES,2012-2015,FEA033 (22-313),2012 FORD RANGER T6 & SWITCHES dashboard interior OEM,5,dashboard_01_0fa79f35.jpg; dashboard_02_309bd72d.jpg; dashboard_03_59cd1c92.jpg; dashboard_04_63ba37a3.jpg; dashboard_05_a0950846.jpg,SUCCESS,dashboards/FORD/RANGER_T6_SWITCHES_2012-2015
FORD,RANGER T7,2015+,AJ-FD-TK0617 T7 (22-621),2015 FORD RANGER T7 dashboard interior OEM,5,dashboard_01_fa371a56.jpg; dashboard_02_2ebea911.jpg; dashboard_03_b768f2c7.jpg; dashboard_04_35a422f2.jpg; dashboard_05_5dc6f69b.jpg,SUCCESS,dashboards/FORD/RANGER_T7_2015-present
FORD,RANGER T7 +,,FA-FORD RANGER T7 (11-626), FORD RANGER T7 + dashboard interior OEM,5,dashboard_01_c052d7e3.jpg; dashboard_02_dc5fa291.jpg; dashboard_03_42f19898.jpg; dashboard_04_8dab7d10.png; dashboard_05_2ebea911.jpg,SUCCESS,dashboards/FORD/RANGER_T7_
FORD,RANGER/EVEREST,2015+,AJ-FD-029 (22-621); AJ-FD-029-D (22-621),2015 FORD RANGER/EVEREST dashboard interior OEM,5,dashboard_01_fa371a56.jpg; dashboard_02_34ea6ca8.jpg; dashboard_03_b768f2c7.jpg; dashboard_04_0fa0aa77.jpg; dashboard_05_e98b4781.jpg,SUCCESS,dashboards/FORD/RANGEREVEREST_2015-present
FORD,RANGER/TRANSIT/TOURNEO,,"AJ-FD-TK0680A (11-491 9"")", FORD RANGER/TRANSIT/TOURNEO dashboard interior OEM,5,dashboard_01_285a057a.jpg; dashboard_02_2ebea911.jpg; dashboard_03_a0a59422.jpg; dashboard_04_e7e4cdec.jpg; dashboard_05_35a422f2.jpg,SUCCESS,dashboards/FORD/RANGERTRANSITTOURNEO_
FORD,TRANSIT,,"FEA680 (11-491 9"")", FORD TRANSIT dashboard interior OEM,5,dashboard_01_93312eea.jpg; dashboard_02_a958543f.jpg; dashboard_03_719d3072.jpg; dashboard_04_c2096dee.jpg; dashboard_05_cb59135a.jpg,SUCCESS,dashboards/FORD/TRANSIT_
FOTON,TAXI,,FEA313, FOTON TAXI dashboard interior OEM,5,dashboard_01_4a5aa4cd.jpg; dashboard_02_de619f51.jpg; dashboard_03_8808239e.jpg; dashboard_04_3ba55d0b.jpg; dashboard_05_4f7febc3.jpg,SUCCESS,dashboards/FOTON/TAXI_
GWM,P SERIES +,,AJ-CC-030, GWM P SERIES + dashboard interior OEM,5,dashboard_01_0ad0636c.jpg; dashboard_02_dc7f8a35.jpg; dashboard_03_f9fb45b8.jpg; dashboard_04_6f2b5d19.jpg; dashboard_05_0c42076d.jpg,SUCCESS,dashboards/GWM/P_SERIES_
GWM,STEED 6 +,,AJ-CC-022, GWM STEED 6 + dashboard interior OEM,5,dashboard_01_db8991e3.jpg; dashboard_02_97efca2a.jpg; dashboard_03_d877491b.jpg; dashboard_04_7d563fd4.jpg; dashboard_05_eb6caf59.jpg,SUCCESS,dashboards/GWM/STEED_6_
HAVAL,H1,,AJ-CC-017, HAVAL H1 dashboard interior OEM,5,dashboard_01_f872187d.jpg; dashboard_02_e7dad22b.jpg; dashboard_03_7698ee37.jpg; dashboard_04_ed61b106.jpg; dashboard_05_687ea3e6.jpg,SUCCESS,dashboards/HAVAL/H1_
HAVAL,H2,,AJ-CC-012, HAVAL H2 dashboard interior OEM,5,dashboard_01_2328757b.jpg; dashboard_02_7698ee37.jpg; dashboard_03_0777818c.jpg; dashboard_04_890a676a.jpg; dashboard_05_fa5e9c66.jpg,SUCCESS,dashboards/HAVAL/H2_
HAVAL,H6,,AJ-CC-009 (22-906), HAVAL H6 dashboard interior OEM,5,dashboard_01_c5f9efc9.jpg; dashboard_02_1995cef3.jpg; dashboard_03_6c96e422.jpg; dashboard_04_f14eb616.jpg; dashboard_05_aa999711.jpg,SUCCESS,dashboards/HAVAL/H6_
HONDA,ACCORD,,AJ-HND-TK0669C, HONDA ACCORD dashboard interior OEM,5,dashboard_01_9637829c.jpg; dashboard_02_84805331.jpg; dashboard_03_333d6039.jpg; dashboard_04_c8a4209c.jpg; dashboard_05_29dcc6ab.jpg,SUCCESS,dashboards/HONDA/ACCORD_
HONDA,BRIO,2015,YE-HO035 (11-388),2015 HONDA BRIO dashboard interior OEM,5,dashboard_01_2997a630.jpg; dashboard_02_a0966852.jpg; dashboard_03_41f1e049.jpg; dashboard_04_82b65b18.jpg; dashboard_05_4fdacb44.jpg,SUCCESS,dashboards/HONDA/BRIO_2015
HONDA,BRV,,"FEA045 (11-699 9""); FEA532 (11-699 9""); AJ-HND-TK0532 (11-699 9"")", HONDA BRV dashboard interior OEM,5,dashboard_01_c7b65b6e.jpg; dashboard_02_ff618f77.jpg; dashboard_03_973a7e67.jpg; dashboard_04_47daa4d1.jpg; dashboard_05_2598d816.jpg,SUCCESS,dashboards/HONDA/BRV_
HONDA,CITY,2014,"AJ-HND-TK0520 (11-507 10.1""); FEA520 (11-507 10.1"")",2014 HONDA CITY dashboard interior OEM,5,dashboard_01_46f95e03.jpg; dashboard_02_68ad0c8c.jpg; dashboard_03_284ef018.jpg; dashboard_04_5ec579bb.jpg; dashboard_05_a3364a80.jpg,SUCCESS,dashboards/HONDA/CITY_2014
HONDA,CIVIC HATCHBACH,2017,"FEA122 (11-344 9"")",2017 HONDA CIVIC HATCHBACH dashboard interior OEM,5,dashboard_01_62477b21.png; dashboard_02_a9602d57.jpg; dashboard_03_beb1ee2f.jpg; dashboard_04_92475076.jpg; dashboard_05_9da19846.jpg,SUCCESS,dashboards/HONDA/CIVIC_HATCHBACH_2017
HONDA,CIVIC TYPE-R,,FEA121 (11-223); FEA048 (22-218), HONDA CIVIC TYPE-R dashboard interior OEM,5,dashboard_01_a547a35f.jpg; dashboard_02_263ffc51.jpg; dashboard_03_ae2c0404.jpg; dashboard_04_b6e4610a.jpg; dashboard_05_b962b770.jpg,SUCCESS,dashboards/HONDA/CIVIC_TYPE-R_
HONDA,CRV,2012,AJ-HND-TK0110 (22-012); FA-FEA110 (22-012),2012 HONDA CRV dashboard interior OEM,5,dashboard_01_c8551159.jpg; dashboard_02_2c029a75.jpg; dashboard_03_94ad7b0a.jpg; dashboard_04_55438c2f.jpg; dashboard_05_047d4895.jpg,SUCCESS,dashboards/HONDA/CRV_2012
HONDA,JAZZ,2008,YE-HO031 (11-213); YE-HO031 (22-213),2008 HONDA JAZZ dashboard interior OEM,5,dashboard_01_8b4c70a5.jpg; dashboard_02_64d0c876.jpg; dashboard_03_ab52d506.jpg; dashboard_04_cb52416d.jpg; dashboard_05_9b6fbcec.jpg,SUCCESS,dashboards/HONDA/JAZZ_2008
HONDA,JAZZ,2013,FEA601 (22-671); YE-HO014 (11-220),2013 HONDA JAZZ dashboard interior OEM,5,dashboard_01_5981be6e.jpg; dashboard_02_929d1889.jpg; dashboard_03_4c7b5e52.jpg; dashboard_04_aedf9572.jpg; dashboard_05_3214beef.jpg,SUCCESS,dashboards/HONDA/JAZZ_2013
HONDA,XRV,,FEA045 (22-040), HONDA XRV dashboard interior OEM,5,dashboard_01_c8551159.jpg; dashboard_02_b8b0f60b.jpg; dashboard_03_6d9f0f73.jpg; dashboard_04_d47c088a.jpg; dashboard_05_e9d587dd.jpg,SUCCESS,dashboards/HONDA/XRV_
HYUNDAI,ACCENT,2017,FEA711,2017 HYUNDAI ACCENT dashboard interior OEM,5,dashboard_01_659abc92.jpg; dashboard_02_fc211bff.png; dashboard_03_4edfaf55.jpg; dashboard_04_155f48f1.jpg; dashboard_05_ef89b5cd.jpg,SUCCESS,dashboards/HYUNDAI/ACCENT_2017
HYUNDAI,ACCENT/ I25/ VERNA,2010-2017,RU-HYUNDAI VERNA (11-105); FEA093 (22-105),2010 HYUNDAI ACCENT/ I25/ VERNA dashboard interior OEM,5,dashboard_01_851b5278.jpg; dashboard_02_fc211bff.png; dashboard_03_8646cb39.jpg; dashboard_04_7068411d.png; dashboard_05_07042dff.jpg,SUCCESS,dashboards/HYUNDAI/ACCENT_I25_VERNA_2010-2017
HYUNDAI,CRETA/IX25 +,,"YE-HYRE080 (11-656); FEA219 (22-656 9""); AJ-HY-003 (22-656)", HYUNDAI CRETA/IX25 + dashboard interior OEM,5,dashboard_01_241e4b8a.jpg; dashboard_02_b71f4c58.jpg; dashboard_03_55023fa0.jpg; dashboard_04_4d75c005.jpg; dashboard_05_a0cb19e9.jpg,SUCCESS,dashboards/HYUNDAI/CRETAIX25_
HYUNDAI,ELANTRA,,AJ-HY-TK0558 (22-680), HYUNDAI ELANTRA dashboard interior OEM,5,dashboard_01_9d05f154.jpg; dashboard_02_30acfc13.jpg; dashboard_03_562e2976.jpg; dashboard_04_a505f887.jpg; dashboard_05_634cb41a.jpg,SUCCESS,dashboards/HYUNDAI/ELANTRA_
HYUNDAI,H1,2015,MFN001HY (11-144); YE-HY047 (11-144),2015 HYUNDAI H1 dashboard interior OEM,5,dashboard_01_0ac7b312.jpg; dashboard_02_54bb4c92.jpg; dashboard_03_4cf536a0.jpg; dashboard_04_3ac0a2a3.jpg; dashboard_05_cae84001.jpg,SUCCESS,dashboards/HYUNDAI/H1_2015
