part_number,car_name,description,note,folder_name,status
22-645,FORD Focus 2011+,"CARAV 22-645: 9"" / 230:220 x 130 mm / FORD Focus 2011+",Note: Gloss Black color,FORD_Focus_2011+,OK
11-276,MERCURY Mariner 2008-2010,CARAV 11-276: 2 DIN / 173 x 98 mm / 178 x 102 mm / MAZDA         Tribute 2008-2012 / FORD Escape 2007-2012 / MERCURY Mariner 2008-2010,Note: Black color,MERCURY_Mariner_2008-2010,OK
22-621,"FORD Ranger, Everest         2015+","CARAV 22-621: 9"" / 230:220 x 130 mm / FORD Ranger, Everest         2015+","Note: Black color / acceptable for the vehicles with 4.2"" monitor only / SYNC1","FORD_Ranger,_Everest_2015+",OK
22-626,,,,22-626,FAILED - no product image
11-491,"FORD Transit Custom,         Tourneo Custom 2012+","CARAV 11-491: 2 DIN / 173 x 98 mm / FORD Transit Custom,         Tourneo Custom 2012+",Note: Dark Grey color / requires replacement hazard switch: CARAV F-100,"FORD_Transit_Custom,_Tourneo_Custom_2012+",OK
22-906,HAVAL H6 2014+,"CARAV 22-906: 10.1"" / 250:241 x 146 mm / HAVAL H6 2014+",Note: Silver color,HAVAL_H6_2014+,OK
11-507,"HONDA City,         Ballade, Grace 2014+","CARAV 11-507: 2 DIN / 173 x 98 mm / 178 x 102 mm / HONDA City,         Ballade, Grace 2014+",Note: Gloss Black color / acceptable for the vehicles with Right Wheel only / acceptable for the vehicles without SRS only,"HONDA_City,_Ballade,_Grace_2014+",OK
22-012,HONDA CR-V 2007-2011,"CARAV 22-012: 9"" / 230:220 x 130 mm / HONDA CR-V 2007-2011",Note: Black color,HONDA_CR-V_2007-2011,OK
22-680,"HYUNDAI Elantra (HD),       Avante (HD) 2006-2010","CARAV 22-680: 9"" / 230:220 x 130 mm / HYUNDAI Elantra (HD),       Avante (HD) 2006-2010",Note: Black color / acceptable for the vehicles with Left Wheel only,"HYUNDAI_Elantra_(HD),_Avante_(HD)_2006-2010",OK
22-360,"HYUNDAI i-10 2013-2016,       Xcent 2014-2017","CARAV 22-360: 9"" / 230:220 x 130 mm / HYUNDAI i-10 2013-2016,       Xcent 2014-2017",Note: Black color / acceptable for the vehicles with Right Wheel only / only for type with the clock next to the hazard lights switch,"HYUNDAI_i-10_2013-2016,_Xcent_2014-2017",OK
22-070,"HYUNDAI iX-35, Tucson       (LM) 2010-18","CARAV 22-070: 10.1"" / 250:241 x 146 mm / HYUNDAI iX-35, Tucson       (LM) 2010-18",Note: Black color,"HYUNDAI_iX-35,_Tucson_(LM)_2010-18",OK
22-613,HYUNDAI Tucson 2015-2018,"CARAV 22-613: 9"" / 230:220 x 130 mm / HYUNDAI Tucson 2015-2018",Note: Silver color / acceptable for the vehicles with Left Wheel only,HYUNDAI_Tucson_2015-2018,OK
22-810,JEEP Compass         2011-2016,"CARAV 22-810: 10.1"" / 250:241 x 146 mm / JEEP Compass         2011-2016",Note: Black color,JEEP_Compass_2011-2016,OK
22-629,JEEP Renegate 2014+,"CARAV 22-629: 9"" / 230:220 x 130 mm / JEEP Renegate 2014+",Note: Black color,JEEP_Renegate_2014+,OK
11-397,"KIA Picanto         (TA), Morning (TA) 2011-2017","CARAV 11-397: 2 DIN / 173 x 98 mm / 178 x 102 mm / KIA Picanto         (TA), Morning (TA) 2011-2017",Note: Black color / acceptable for the vehicles with Right Wheel only,"KIA_Picanto_(TA),_Morning_(TA)_2011-2017",OK
22-813,"KIA Picanto (JA), Morning       (JA) 2017+","CARAV 22-813: 9"" / 230:220 x 130 mm / KIA Picanto (JA), Morning       (JA) 2017+",Note: Gloss Black color,"KIA_Picanto_(JA),_Morning_(JA)_2017+",OK
22-515,KIA Sorento (UM) 2014+,"CARAV 22-515: 10.1"" / 250:241 x 146 mm / KIA Sorento (UM) 2014+",Note: Black color / acceptable for the vehicles with Left Wheel only,KIA_Sorento_(UM)_2014+,OK
22-079,,"CARAV 22-079: TOYOTA Vios 2002-2007 / MAZDA (2), Demio 2007-2014",Note: Black color,22-079,OK
22-081,MAZDA (3) 2004-2008; Axela       2006-2008,"CARAV 22-081: 9"" / 230:220 x 130 mm / MAZDA (3) 2004-2008; Axela       2006-2008",Note: Black color,MAZDA_(3)_2004-2008;_Axela_2006-2008,OK
22-781,"MAZDA (3), Axela 2014+","CARAV 22-781: 10.1"" / 250:241 x 146 mm / MAZDA (3), Axela 2014+",Note: Silver color,"MAZDA_(3),_Axela_2014+",OK
11-516,MAZDA BT-50         2012+,CARAV 11-516: 2 DIN / 173 x 98 mm / 178 x 102 mm / MAZDA BT-50         2012+,Note: Black color / complete Replacement hazard switch and door lock buttons,MAZDA_BT-50_2012+,OK
11-086,MAZDA RX-8       2003-2008,CARAV 11-086: 2 DIN / 173 x 98 mm / 178 x 102 mm / MAZDA RX-8       2003-2008,Note: Gloss Black color / acceptable for the vehicles with Manual Air-Conditioning only,MAZDA_RX-8_2003-2008,OK
22-023,MERCEDES-BENZ M-klasse         (W164) 2005-2011; GL-Klasse (X164) 2006-2012,"CARAV 22-023: 9"" / 230:220 x 130 mm / MERCEDES-BENZ M-klasse         (W164) 2005-2011; GL-Klasse (X164) 2006-2012",Note: Gloss Black color,MERCEDES-BENZ_M-klasse_(W164)_2005-2011;_GL-Klasse_(X164)_2006-2012,OK
11-429,"NISSAN Micra (K13), March (K13),       Note (E12), Versa Note (E12) 2013-2017; Livina 2013+; Almera (N17),       Latio (N17), Sunny (N17), Juke, Versa (B17) 2014+","CARAV 11-429: 2 DIN / 173 x 98 mm / NISSAN Micra (K13), March (K13),       Note (E12), Versa Note (E12) 2013-2017; Livina 2013+; Almera (N17),       Latio (N17), Sunny (N17), Juke, Versa (B17) 2014+",Note: Black color,"NISSAN_Micra_(K13),_March_(K13),_Note_(E12),_Versa_Note_(E12)_2013-2017;_Livina_2013+;_Almera_(N17),_Latio_(N17),_Sunny_(N17),_Juke,_Versa_(B17)_2014+",OK
22-309,RENAULT Alaskan 2016+,"CARAV 22-309: 9"" / 230:220 x 130 mm / NISSAN NP300, Navara,         Frontier 2014-2016 / RENAULT Alaskan 2016+",Note: Gloss Black color,RENAULT_Alaskan_2016+,OK
11-478,"NISSAN         X-Trail, Qashkai, Rogue 2014+","CARAV 11-478: 2 DIN / 173 x 98 mm / 178 x 102 mm / NISSAN         X-Trail, Qashkai, Rogue 2014+",Note: Gloss Black color,"NISSAN_X-Trail,_Qashkai,_Rogue_2014+",OK
22-567,"SUZUKI Alivio, Ciaz 2014+","CARAV 22-567: 9"" / 230:220 x 130 mm / SUZUKI Alivio, Ciaz 2014+",Note: Black color,"SUZUKI_Alivio,_Ciaz_2014+",OK
22-654,SUZUKI Baleno 2015+,"CARAV 22-654: 9"" / 230:220 x 130 mm /         SUZUKI Baleno 2015+",Note: Black color,SUZUKI_Baleno_2015+,OK
22-655,SUZUKI-Maruti Vitara Breeza 2016+,"CARAV 22-655: 9"" / 230:220 x 130 mm /         SUZUKI-Maruti Vitara Breeza 2016+",Note: Black color,SUZUKI-Maruti_Vitara_Breeza_2016+,OK
22-015,SUZUKI Ertiga 2018+,"CARAV 22-015: 9"" / 230:220 x 130 mm / SUZUKI Ertiga 2018+",Note: Black color,SUZUKI_Ertiga_2018+,OK
22-259,SUZUKI Swift         2004-2010; Dzire 2008-2010,"CARAV 22-259: 10.1"" / 250:241 x 146 mm / SUZUKI Swift         2004-2010; Dzire 2008-2010",Note: Black color,SUZUKI_Swift_2004-2010;_Dzire_2008-2010,OK
22-157,SUZUKI Swift 2011-2017;       Ertiga 2012-2017,"CARAV 22-157: 9"" / 230:220 x 130 mm / SUZUKI Swift 2011-2017;       Ertiga 2012-2017",Note: Black color,SUZUKI_Swift_2011-2017;_Ertiga_2012-2017,OK
22-795,SUZUKI Swift 2017+,"CARAV 22-795: 10.1"" / 250:241 x 146 mm / SUZUKI Swift 2017+",Note: Gloss Black color,SUZUKI_Swift_2017+,OK
22-958,SUZUKI SX4 2007-2014,"CARAV 22-958: 9"" / 230:220 x 130 mm /         FIAT Sedici 2006-2014 / SUZUKI SX4 2007-2014",Note: Black color,SUZUKI_SX4_2007-2014,OK
22-743,SUZUKI Ignis 2016+,"CARAV 22-743: 9"" / 230:220 x 130 mm / SUZUKI Ignis 2016+",Note: Black color,SUZUKI_Ignis_2016+,OK
22-981,SUZUKI Jimny 2018+,"CARAV 22-981: 9"" / 230:220 x 130 mm / SUZUKI Jimny 2018+",Note: Black color,SUZUKI_Jimny_2018+,OK
22-588,SUZUKI Vitara 2015+,"CARAV 22-588: 9"" / 230:220 x 130 mm /         SUZUKI Vitara 2015+",Note: Black color,SUZUKI_Vitara_2015+,OK
11-037,TOYOTA Corolla 2001-2006,CARAV 11-037: 1 DIN / 182 x 53 mm / TOYOTA Corolla 2001-2006,Note: Black color / Pocket,TOYOTA_Corolla_2001-2006,OK
22-013,TOYOTA Corolla 2013-2016,"CARAV 22-013: 10.1"" / 250:241 x 146 mm         / TOYOTA Corolla 2013-2016",Note: Gloss Black color / acceptable for the vehicles with Left Wheel only,TOYOTA_Corolla_2013-2016,OK
22-031,TOYOTA Corolla (E170) 2017+,"CARAV 22-031: 10.1"" / 250:241 x 146 mm         / TOYOTA Corolla (E170) 2017+",Note: Gloss Black color / acceptable for the vehicles with Right Wheel only,TOYOTA_Corolla_(E170)_2017+,OK
22-032,TOYOTA Corolla (E210) 2018+,"CARAV 22-032: 10.1"" / 250:241 x 146 mm         / TOYOTA Corolla (E210) 2018+",Note: Gloss Black color,TOYOTA_Corolla_(E210)_2018+,OK
22-600,TOYOTA Fortuner 2015+;         SW4 2016+,"CARAV 22-600: 9"" / 230:220 x 130 mm / TOYOTA Fortuner 2015+;         SW4 2016+",Note: Gloss Black color,TOYOTA_Fortuner_2015+;_SW4_2016+,OK
22-987,"TOYOTA Fortuner, Hilux,         SW4 2011-2015","CARAV 22-987: 9"" / 230:220 x 130 mm / TOYOTA Fortuner, Hilux,         SW4 2011-2015",Note: Gloss Black color,"TOYOTA_Fortuner,_Hilux,_SW4_2011-2015",OK
22-025,TOYOTA Land Cruiser         Prado (150) 2017+,"CARAV 22-025: 10.1"" / 250:241 x 146 mm / TOYOTA Land Cruiser         Prado (150) 2017+",Note: Gloss Black color,TOYOTA_Land_Cruiser_Prado_(150)_2017+,OK
11-343,TOYOTA RAV4         2013+,CARAV 11-343: 2 DIN / 173 x 98 mm / 178 x 102 mm / TOYOTA RAV4         2013+,Note: Black color,TOYOTA_RAV4_2013+,OK
11-401,"TOYOTA       Yaris,Vitz, Platz 2005-2010","CARAV 11-401: 2 DIN / 173 x 98 mm / 178 x 102 mm / TOYOTA       Yaris,Vitz, Platz 2005-2010",Note: Black color,"TOYOTA_Yaris,Vitz,_Platz_2005-2010",OK
11-342,TOYOTA         Yaris (XP130) 2011-2014,CARAV 11-342: 2 DIN / 173 x 98 mm / 178 x 102 mm / TOYOTA         Yaris (XP130) 2011-2014,Note: Silver color / universal model for the vehicles with Left and Right Wheels,TOYOTA_Yaris_(XP130)_2011-2014,OK
11-793,"TOYOTA Vios 2018+,       Yaris 2017+","CARAV 11-793: 2 DIN / 173 x 98 mm / 178 x 102 mm / TOYOTA Vios 2018+,       Yaris 2017+",Note: Gloss Black color / acceptable for the vehicles with Manual Air-Conditioning only  / acceptable for the vehicles with Right Wheel only,"TOYOTA_Vios_2018+,_Yaris_2017+",OK
11-039,,CARAV 11-039: 2 DIN / 173 x 98 mm,Note: Black color / TOYOTA universal side brackets,11-039,OK
11-795,SUZUKI Swift       2017+,CARAV 11-795: 2 DIN / 173 x 98 mm / 178 x 102 mm / SUZUKI Swift       2017+,Note: Gloss Black color,SUZUKI_Swift_2017+,OK
08-008,178         x 102 mm,CARAV 08-008: 2 DIN / 173 x 98 mm / 178         x 102 mm,Note: Black color,178_x_102_mm,OK
08-009,SKODA Fabia 2007-2014; Octavia         2009-2013; SuperB 2008-2015; Yeti 2009-2017; Roomster 2006-2015; Rapid         2012+; Praktik 2007-2015,"CARAV 08-009: 2 DIN / 173 x 98 mm / 178         x 102 mm / VOLKSWAGEN Caddy, Touran 2003+; EOS 2006-2015, Sagitar         2006+; Passat CC 2008-2012; Scirocco 2008-2017; Tiguan 2007+, T5         (Transporter, Caravelle, Multivan) 2009+; Amarok, Sharan II 2010+;         Golf V 2003-2009; Golf VI 2008-14; Jetta V 2005-2010; Jetta VI 2011+;         Magotan 2007-16; Passat B6 2005-2010; Passat B7 2010-14; Polo 2009+;         Beetle 2011+; СС, Lavida 2012+ / SEAT Altea 2004-15; Leon 2009-12;         Alhambra 2010+; Toledo 2004+ / SKODA Fabia 2007-2014; Octavia         2009-2013; SuperB 2008-2015; Yeti 2009-2017; Roomster 2006-2015; Rapid         2012+; Praktik 2007-2015",Note: Black color,SKODA_Fabia_2007-2014;_Octavia_2009-2013;_SuperB_2008-2015;_Yeti_2009-2017;_Roomster_2006-2015;_Rapid_2012+;_Praktik_2007-2015,OK
22-540,VOLKSWAGEN Polo 2014+,"CARAV 22-540: 9"" / 230:220 x 130 mm / VOLKSWAGEN Polo 2014+",Note: Silver color,VOLKSWAGEN_Polo_2014+,OK
